6183 3093 2345, 8658 8943 352, 3701 6435 235, 4962 3055 3230, 3258 3023 8691, 4053 1080 1413, 1029 4123 6812, 8385 6142 1979, 7678 3765 467, 9554 7824 8744, 
0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 
-149 116 -446, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 149 -117 446, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 
-151 117 -591, -1 0 0, 0 0 0, 0 0 0, 0 0 0, 153 -118 590, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 
-126 97 -638, -485 90 161, 483 -89 -158, 0 0 0, 0 0 0, 131 -99 637, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 
-251 103 -695, -653 109 261, 653 -109 -258, -1 -1 0, 0 0 0, 254 -104 694, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 
-343 87 -679, -664 92 353, 665 -95 -351, -147 -469 -31, 144 466 32, 345 -84 679, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 
-448 158 -693, -679 165 469, 680 -170 -466, -244 -699 -55, 240 699 59, 453 -152 693, 0 0 0, 0 0 0, 0 0 0, 0 0 0, 
-489 241 -655, -642 222 520, 642 -227 -517, -333 -723 -64, 330 725 69, 495 -236 655, 126 -101 130, -124 101 -129, 0 0 0, 0 0 0, 
-514 319 -647, -609 272 557, 609 -276 -555, -423 -714 -75, 422 716 83, 519 -315 647, 194 -181 216, -192 180 -217, 1 1 0, 0 0 0, 
-529 381 -653, -578 311 579, 578 -314 -578, -492 -691 -86, 492 693 96, 534 -380 651, 219 -274 267, -217 274 -268, 150 140 -18, -147 -137 19, 
-554 410 -663, -555 346 597, 555 -348 -597, -551 -683 -106, 553 684 117, 561 -409 660, 198 -418 319, -198 416 -318, 257 198 -13, -251 -197 11, 
-616 380 -660, -534 373 607, 534 -375 -608, -598 -683 -148, 597 685 161, 623 -382 655, 111 -563 393, -110 563 -389, 350 189 -1, -342 -187 -7, 
-655 351 -631, -515 402 605, 514 -406 -606, -615 -689 -225, 612 690 245, 660 -355 626, 2 -628 477, -1 632 -474, 420 156 -11, -406 -154 -8, 
-658 365 -602, -500 440 593, 497 -447 -595, -593 -685 -342, 586 683 365, 661 -371 596, -123 -637 542, 122 643 -539, 473 137 -49, -452 -132 23, 
-638 408 -578, -492 479 577, 487 -486 -581, -556 -663 -442, 549 658 458, 640 -413 570, -235 -625 574, 229 632 -571, 511 130 -84, -486 -121 57, 
-611 450 -561, -491 509 564, 484 -514 -567, -530 -632 -500, 524 627 509, 610 -454 552, -318 -612 585, 308 619 -583, 531 126 -100, -503 -115 74, 
-584 480 -550, -492 529 555, 486 -531 -559, -515 -606 -530, 510 601 535, 582 -483 541, -376 -601 589, 362 609 -587, 539 121 -103, -506 -109 77, 
-562 500 -544, -495 541 551, 489 -542 -555, -508 -588 -545, 503 582 548, 559 -503 535, -416 -593 589, 400 601 -588, 538 113 -97, -503 -101 74, 
-546 514 -542, -497 548 550, 491 -547 -553, -504 -576 -553, 500 571 556, 543 -516 534, -444 -587 588, 428 596 -587, 535 105 -89, -496 -93 68, 
-534 524 -541, -499 552 549, 494 -551 -553, -503 -568 -558, 498 564 561, 531 -526 534, -463 -583 585, 448 591 -585, 530 96 -80, -489 -86 61, 
-526 530 -542, -501 554 549, 496 -552 -553, -502 -564 -560, 498 559 564, 522 -533 535, -476 -579 583, 462 587 -583, 526 88 -71, -484 -78 55, 
-520 535 -543, -502 556 550, 497 -553 -553, -502 -562 -561, 497 557 565, 516 -538 536, -485 -576 580, 471 584 -580, 523 81 -63, -479 -71 49, 
-515 539 -543, -503 556 550, 498 -553 -554, -502 -560 -562, 497 556 566, 512 -541 537, -491 -574 578, 478 581 -578, 522 74 -55, -476 -65 44, 
-512 541 -544, -504 557 551, 499 -553 -554, -502 -559 -562, 497 556 567, 508 -544 539, -496 -571 575, 483 579 -575, 521 68 -48, -474 -59 39, 
-510 543 -546, -504 557 551, 499 -553 -555, -502 -559 -562, 497 556 567, 506 -547 540, -499 -570 574, 486 577 -573, 521 62 -42, -472 -55 35, 
-508 545 -547, -505 557 551, 499 -553 -555, -502 -559 -562, 497 556 567, 504 -548 541, -501 -568 572, 488 575 -571, 521 56 -37, -471 -50 31, 
-507 546 -548, -505 557 552, 499 -553 -556, -502 -559 -562, 497 556 567, 502 -550 543, -503 -567 571, 490 573 -569, 521 51 -32, -471 -46 28, 
-506 548 -548, -505 557 552, 499 -553 -556, -503 -559 -562, 496 556 567, 501 -551 544, -504 -565 569, 491 572 -568, 522 46 -28, -470 -43 24, 
-505 549 -549, -505 557 552, 499 -553 -557, -503 -559 -562, 496 557 566, 500 -552 545, -505 -564 568, 492 571 -566, 523 42 -24, -469 -39 21, 
-505 550 -550, -505 557 552, 499 -553 -557, -503 -559 -562, 496 557 566, 499 -553 545, -506 -563 567, 492 570 -565, 524 38 -21, -468 -36 18, 
-505 550 -551, -506 557 553, 498 -552 -557, -503 -559 -562, 496 557 566, 498 -554 546, -506 -563 567, 493 569 -564, 526 35 -18, -467 -34 16, 
-505 551 -551, -506 556 553, 498 -552 -558, -504 -559 -561, 495 557 566, 498 -555 547, -507 -562 566, 493 568 -563, 528 32 -15, -466 -32 14, 
-505 552 -552, -506 556 553, 498 -552 -558, -504 -559 -561, 495 557 566, 497 -556 548, -507 -561 565, 493 567 -562, 530 29 -12, -464 -29 11, 
-505 552 -552, -507 556 553, 498 -552 -558, -504 -560 -561, 495 557 565, 496 -557 548, -508 -560 564, 493 566 -561, 532 26 -9, -462 -27 9, 
-505 553 -553, -507 556 553, 497 -552 -558, -505 -560 -561, 494 558 565, 495 -558 549, -508 -560 564, 492 565 -560, 535 23 -7, -460 -25 8, 
-506 553 -553, -508 556 554, 497 -552 -558, -505 -560 -561, 494 558 565, 495 -558 550, -509 -559 563, 492 564 -559, 537 21 -5, -457 -23 6, 
-506 554 -554, -508 556 554, 497 -552 -559, -505 -560 -561, 493 558 565, 494 -559 551, -510 -559 563, 491 563 -559, 540 19 -3, -455 -22 5, 
-507 554 -554, -509 556 554, 496 -552 -559, -506 -560 -560, 492 558 565, 493 -560 551, -510 -558 562, 491 563 -558, 543 16 -1, -452 -20 4, 
-507 554 -554, -509 556 554, 496 -552 -559, -506 -560 -560, 492 558 565, 493 -560 552, -511 -558 562, 491 562 -558, 546 15 0, -449 -18 3, 
-508 555 -555, -510 556 554, 495 -552 -559, -507 -560 -560, 491 558 565, 492 -560 552, -512 -557 561, 490 562 -557, 549 13 1, -445 -17 2, 
-508 555 -555, -511 556 554, 495 -552 -559, -508 -560 -560, 491 558 564, 491 -561 553, -512 -557 561, 490 562 -557, 552 12 2, -442 -16 2, 
-509 555 -555, -511 555 554, 494 -552 -559, -508 -560 -559, 490 558 564, 491 -561 553, -513 -557 560, 489 561 -556, 555 10 3, -439 -15 1, 
-510 555 -555, -512 555 554, 494 -552 -559, -509 -560 -559, 490 558 564, 490 -561 553, -514 -556 560, 489 561 -556, 558 9 4, -435 -13 0, 
-510 555 -556, -513 555 554, 493 -552 -560, -510 -559 -559, 489 558 564, 490 -562 553, -514 -556 559, 489 561 -556, 561 8 5, -431 -12 0, 
-511 556 -556, -514 555 554, 492 -552 -560, -511 -559 -559, 489 559 564, 489 -562 554, -515 -556 559, 488 560 -556, 565 7 6, -427 -11 0, 
-512 556 -556, -514 555 554, 492 -552 -560, -511 -559 -558, 488 559 564, 488 -562 554, -516 -556 558, 488 560 -556, 568 6 6, -423 -10 0, 
-512 556 -556, -515 555 555, 491 -553 -560, -512 -559 -558, 488 559 564, 488 -562 554, -516 -555 558, 487 560 -556, 571 5 7, -419 -9 -1, 
-513 556 -556, -516 555 555, 491 -553 -560, -513 -558 -558, 487 559 564, 487 -563 555, -517 -555 557, 487 560 -556, 574 5 7, -415 -7 -1, 
-514 556 -556, -516 555 555, 490 -553 -560, -514 -558 -558, 487 559 564, 487 -563 555, -518 -555 557, 487 560 -556, 578 4 8, -410 -6 -1, 
-514 556 -556, -517 555 555, 490 -553 -560, -515 -558 -557, 486 559 564, 486 -563 555, -519 -554 557, 486 560 -556, 581 4 8, -406 -5 -2, 
-515 556 -556, -518 555 554, 489 -553 -560, -515 -557 -557, 486 559 564, 486 -563 555, -519 -554 556, 486 560 -555, 584 3 8, -401 -5 -2, 
-516 556 -556, -519 554 554, 489 -553 -560, -516 -557 -557, 485 559 564, 485 -563 555, -520 -553 556, 486 560 -556, 587 3 9, -396 -4 -2, 
